graph_type,nb_nodes,expected_avg_degree,avg_degree,degree_distribution,nb_components,avg_distance,component,nb_nodes_with_degree
random,100,4,3.82,2,3,3.51,0,0
random,100,4,3.82,10,3,3.51,0,1
random,100,4,3.82,16,3,3.51,0,2
random,100,4,3.82,16,3,3.51,0,3
random,100,4,3.82,22,3,3.51,0,4
random,100,4,3.82,12,3,3.51,0,5
random,100,4,3.82,13,3,3.51,0,6
random,100,4,3.82,7,3,3.51,0,7
random,100,4,3.82,1,3,3.51,0,8
random,100,4,3.82,1,3,3.51,0,9
random,100,4,3.82,2,3,0.0,1,0
random,100,4,3.82,10,3,0.0,1,1
random,100,4,3.82,16,3,0.0,1,2
random,100,4,3.82,16,3,0.0,1,3
random,100,4,3.82,22,3,0.0,1,4
random,100,4,3.82,12,3,0.0,1,5
random,100,4,3.82,13,3,0.0,1,6
random,100,4,3.82,7,3,0.0,1,7
random,100,4,3.82,1,3,0.0,1,8
random,100,4,3.82,1,3,0.0,1,9
random,100,4,3.82,2,3,0.0,2,0
random,100,4,3.82,10,3,0.0,2,1
random,100,4,3.82,16,3,0.0,2,2
random,100,4,3.82,16,3,0.0,2,3
random,100,4,3.82,22,3,0.0,2,4
random,100,4,3.82,12,3,0.0,2,5
random,100,4,3.82,13,3,0.0,2,6
random,100,4,3.82,7,3,0.0,2,7
random,100,4,3.82,1,3,0.0,2,8
random,100,4,3.82,1,3,0.0,2,9
random,100,5,5.88,0,1,2.78,0,0
random,100,5,5.88,0,1,2.78,0,1
random,100,5,5.88,6,1,2.78,0,2
random,100,5,5.88,8,1,2.78,0,3
random,100,5,5.88,13,1,2.78,0,4
random,100,5,5.88,22,1,2.78,0,5
random,100,5,5.88,17,1,2.78,0,6
random,100,5,5.88,11,1,2.78,0,7
random,100,5,5.88,7,1,2.78,0,8
random,100,5,5.88,8,1,2.78,0,9
random,100,5,5.88,6,1,2.78,0,10
random,100,5,5.88,1,1,2.78,0,11
random,100,5,5.88,1,1,2.78,0,12
random,200,4,3.8,6,7,4.05,0,0
random,200,4,3.8,13,7,4.05,0,1
random,200,4,3.8,40,7,4.05,0,2
random,200,4,3.8,33,7,4.05,0,3
random,200,4,3.8,42,7,4.05,0,4
random,200,4,3.8,26,7,4.05,0,5
random,200,4,3.8,20,7,4.05,0,6
random,200,4,3.8,12,7,4.05,0,7
random,200,4,3.8,6,7,4.05,0,8
random,200,4,3.8,2,7,4.05,0,9
random,200,4,3.8,6,7,0.0,1,0
random,200,4,3.8,13,7,0.0,1,1
random,200,4,3.8,40,7,0.0,1,2
random,200,4,3.8,33,7,0.0,1,3
random,200,4,3.8,42,7,0.0,1,4
random,200,4,3.8,26,7,0.0,1,5
random,200,4,3.8,20,7,0.0,1,6
random,200,4,3.8,12,7,0.0,1,7
random,200,4,3.8,6,7,0.0,1,8
random,200,4,3.8,2,7,0.0,1,9
random,200,4,3.8,6,7,0.0,2,0
random,200,4,3.8,13,7,0.0,2,1
random,200,4,3.8,40,7,0.0,2,2
random,200,4,3.8,33,7,0.0,2,3
random,200,4,3.8,42,7,0.0,2,4
random,200,4,3.8,26,7,0.0,2,5
random,200,4,3.8,20,7,0.0,2,6
random,200,4,3.8,12,7,0.0,2,7
random,200,4,3.8,6,7,0.0,2,8
random,200,4,3.8,2,7,0.0,2,9
random,200,4,3.8,6,7,0.0,3,0
random,200,4,3.8,13,7,0.0,3,1
random,200,4,3.8,40,7,0.0,3,2
random,200,4,3.8,33,7,0.0,3,3
random,200,4,3.8,42,7,0.0,3,4
random,200,4,3.8,26,7,0.0,3,5
random,200,4,3.8,20,7,0.0,3,6
random,200,4,3.8,12,7,0.0,3,7
random,200,4,3.8,6,7,0.0,3,8
random,200,4,3.8,2,7,0.0,3,9
random,200,4,3.8,6,7,0.0,4,0
random,200,4,3.8,13,7,0.0,4,1
random,200,4,3.8,40,7,0.0,4,2
random,200,4,3.8,33,7,0.0,4,3
random,200,4,3.8,42,7,0.0,4,4
random,200,4,3.8,26,7,0.0,4,5
random,200,4,3.8,20,7,0.0,4,6
random,200,4,3.8,12,7,0.0,4,7
random,200,4,3.8,6,7,0.0,4,8
random,200,4,3.8,2,7,0.0,4,9
random,200,4,3.8,6,7,0.0,5,0
random,200,4,3.8,13,7,0.0,5,1
random,200,4,3.8,40,7,0.0,5,2
random,200,4,3.8,33,7,0.0,5,3
random,200,4,3.8,42,7,0.0,5,4
random,200,4,3.8,26,7,0.0,5,5
random,200,4,3.8,20,7,0.0,5,6
random,200,4,3.8,12,7,0.0,5,7
random,200,4,3.8,6,7,0.0,5,8
random,200,4,3.8,2,7,0.0,5,9
random,200,4,3.8,6,7,0.0,6,0
random,200,4,3.8,13,7,0.0,6,1
random,200,4,3.8,40,7,0.0,6,2
random,200,4,3.8,33,7,0.0,6,3
random,200,4,3.8,42,7,0.0,6,4
random,200,4,3.8,26,7,0.0,6,5
random,200,4,3.8,20,7,0.0,6,6
random,200,4,3.8,12,7,0.0,6,7
random,200,4,3.8,6,7,0.0,6,8
random,200,4,3.8,2,7,0.0,6,9
random,200,5,4.86,3,4,3.46,0,0
random,200,5,4.86,7,4,3.46,0,1
random,200,5,4.86,19,4,3.46,0,2
random,200,5,4.86,31,4,3.46,0,3
random,200,5,4.86,37,4,3.46,0,4
random,200,5,4.86,26,4,3.46,0,5
random,200,5,4.86,29,4,3.46,0,6
random,200,5,4.86,25,4,3.46,0,7
random,200,5,4.86,12,4,3.46,0,8
random,200,5,4.86,5,4,3.46,0,9
random,200,5,4.86,2,4,3.46,0,10
random,200,5,4.86,2,4,3.46,0,11
random,200,5,4.86,2,4,3.46,0,12
random,200,5,4.86,3,4,0.0,1,0
random,200,5,4.86,7,4,0.0,1,1
random,200,5,4.86,19,4,0.0,1,2
random,200,5,4.86,31,4,0.0,1,3
random,200,5,4.86,37,4,0.0,1,4
random,200,5,4.86,26,4,0.0,1,5
random,200,5,4.86,29,4,0.0,1,6
random,200,5,4.86,25,4,0.0,1,7
random,200,5,4.86,12,4,0.0,1,8
random,200,5,4.86,5,4,0.0,1,9
random,200,5,4.86,2,4,0.0,1,10
random,200,5,4.86,2,4,0.0,1,11
random,200,5,4.86,2,4,0.0,1,12
random,200,5,4.86,3,4,0.0,2,0
random,200,5,4.86,7,4,0.0,2,1
random,200,5,4.86,19,4,0.0,2,2
random,200,5,4.86,31,4,0.0,2,3
random,200,5,4.86,37,4,0.0,2,4
random,200,5,4.86,26,4,0.0,2,5
random,200,5,4.86,29,4,0.0,2,6
random,200,5,4.86,25,4,0.0,2,7
random,200,5,4.86,12,4,0.0,2,8
random,200,5,4.86,5,4,0.0,2,9
random,200,5,4.86,2,4,0.0,2,10
random,200,5,4.86,2,4,0.0,2,11
random,200,5,4.86,2,4,0.0,2,12
random,200,5,4.86,3,4,0.0,3,0
random,200,5,4.86,7,4,0.0,3,1
random,200,5,4.86,19,4,0.0,3,2
random,200,5,4.86,31,4,0.0,3,3
random,200,5,4.86,37,4,0.0,3,4
random,200,5,4.86,26,4,0.0,3,5
random,200,5,4.86,29,4,0.0,3,6
random,200,5,4.86,25,4,0.0,3,7
random,200,5,4.86,12,4,0.0,3,8
random,200,5,4.86,5,4,0.0,3,9
random,200,5,4.86,2,4,0.0,3,10
random,200,5,4.86,2,4,0.0,3,11
random,200,5,4.86,2,4,0.0,3,12
small world,100,4,4.0,0,1,3.59,0,0
small world,100,4,4.0,0,1,3.59,0,1
small world,100,4,4.0,11,1,3.59,0,2
small world,100,4,4.0,26,1,3.59,0,3
small world,100,4,4.0,27,1,3.59,0,4
small world,100,4,4.0,27,1,3.59,0,5
small world,100,4,4.0,6,1,3.59,0,6
small world,100,4,4.0,3,1,3.59,0,7
small world,100,5,4.0,0,1,3.54,0,0
small world,100,5,4.0,0,1,3.54,0,1
small world,100,5,4.0,9,1,3.54,0,2
small world,100,5,4.0,31,1,3.54,0,3
small world,100,5,4.0,27,1,3.54,0,4
small world,100,5,4.0,22,1,3.54,0,5
small world,100,5,4.0,6,1,3.54,0,6
small world,100,5,4.0,5,1,3.54,0,7
small world,200,4,4.0,0,1,4.17,0,0
small world,200,4,4.0,0,1,4.17,0,1
small world,200,4,4.0,21,1,4.17,0,2
small world,200,4,4.0,51,1,4.17,0,3
small world,200,4,4.0,65,1,4.17,0,4
small world,200,4,4.0,40,1,4.17,0,5
small world,200,4,4.0,18,1,4.17,0,6
small world,200,4,4.0,3,1,4.17,0,7
small world,200,4,4.0,2,1,4.17,0,8
small world,200,5,4.0,0,1,4.2,0,0
small world,200,5,4.0,0,1,4.2,0,1
small world,200,5,4.0,20,1,4.2,0,2
small world,200,5,4.0,47,1,4.2,0,3
small world,200,5,4.0,73,1,4.2,0,4
small world,200,5,4.0,38,1,4.2,0,5
small world,200,5,4.0,19,1,4.2,0,6
small world,200,5,4.0,2,1,4.2,0,7
small world,200,5,4.0,0,1,4.2,0,8
small world,200,5,4.0,1,1,4.2,0,9
scale free,100,4,3.92,0,1,2.99,0,0
scale free,100,4,3.92,0,1,2.99,0,1
scale free,100,4,3.92,50,1,2.99,0,2
scale free,100,4,3.92,20,1,2.99,0,3
scale free,100,4,3.92,7,1,2.99,0,4
scale free,100,4,3.92,8,1,2.99,0,5
scale free,100,4,3.92,4,1,2.99,0,6
scale free,100,4,3.92,3,1,2.99,0,7
scale free,100,4,3.92,0,1,2.99,0,8
scale free,100,4,3.92,1,1,2.99,0,9
scale free,100,4,3.92,1,1,2.99,0,10
scale free,100,4,3.92,0,1,2.99,0,11
scale free,100,4,3.92,1,1,2.99,0,12
scale free,100,4,3.92,1,1,2.99,0,13
scale free,100,4,3.92,0,1,2.99,0,14
scale free,100,4,3.92,1,1,2.99,0,15
scale free,100,4,3.92,1,1,2.99,0,16
scale free,100,4,3.92,0,1,2.99,0,17
scale free,100,4,3.92,0,1,2.99,0,18
scale free,100,4,3.92,0,1,2.99,0,19
scale free,100,4,3.92,1,1,2.99,0,20
scale free,100,4,3.92,0,1,2.99,0,21
scale free,100,4,3.92,0,1,2.99,0,22
scale free,100,4,3.92,0,1,2.99,0,23
scale free,100,4,3.92,1,1,2.99,0,24
scale free,100,5,5.82,0,1,2.61,0,0
scale free,100,5,5.82,0,1,2.61,0,1
scale free,100,5,5.82,0,1,2.61,0,2
scale free,100,5,5.82,41,1,2.61,0,3
scale free,100,5,5.82,16,1,2.61,0,4
scale free,100,5,5.82,15,1,2.61,0,5
scale free,100,5,5.82,3,1,2.61,0,6
scale free,100,5,5.82,3,1,2.61,0,7
scale free,100,5,5.82,4,1,2.61,0,8
scale free,100,5,5.82,1,1,2.61,0,9
scale free,100,5,5.82,4,1,2.61,0,10
scale free,100,5,5.82,6,1,2.61,0,11
scale free,100,5,5.82,2,1,2.61,0,12
scale free,100,5,5.82,0,1,2.61,0,13
scale free,100,5,5.82,0,1,2.61,0,14
scale free,100,5,5.82,0,1,2.61,0,15
scale free,100,5,5.82,0,1,2.61,0,16
scale free,100,5,5.82,2,1,2.61,0,17
scale free,100,5,5.82,0,1,2.61,0,18
scale free,100,5,5.82,0,1,2.61,0,19
scale free,100,5,5.82,0,1,2.61,0,20
scale free,100,5,5.82,0,1,2.61,0,21
scale free,100,5,5.82,1,1,2.61,0,22
scale free,100,5,5.82,0,1,2.61,0,23
scale free,100,5,5.82,0,1,2.61,0,24
scale free,100,5,5.82,0,1,2.61,0,25
scale free,100,5,5.82,0,1,2.61,0,26
scale free,100,5,5.82,2,1,2.61,0,27
scale free,200,4,3.96,0,1,3.34,0,0
scale free,200,4,3.96,0,1,3.34,0,1
scale free,200,4,3.96,99,1,3.34,0,2
scale free,200,4,3.96,42,1,3.34,0,3
scale free,200,4,3.96,20,1,3.34,0,4
scale free,200,4,3.96,13,1,3.34,0,5
scale free,200,4,3.96,4,1,3.34,0,6
scale free,200,4,3.96,2,1,3.34,0,7
scale free,200,4,3.96,5,1,3.34,0,8
scale free,200,4,3.96,3,1,3.34,0,9
scale free,200,4,3.96,3,1,3.34,0,10
scale free,200,4,3.96,0,1,3.34,0,11
scale free,200,4,3.96,0,1,3.34,0,12
scale free,200,4,3.96,2,1,3.34,0,13
scale free,200,4,3.96,1,1,3.34,0,14
scale free,200,4,3.96,0,1,3.34,0,15
scale free,200,4,3.96,1,1,3.34,0,16
scale free,200,4,3.96,0,1,3.34,0,17
scale free,200,4,3.96,0,1,3.34,0,18
scale free,200,4,3.96,0,1,3.34,0,19
scale free,200,4,3.96,1,1,3.34,0,20
scale free,200,4,3.96,0,1,3.34,0,21
scale free,200,4,3.96,1,1,3.34,0,22
scale free,200,4,3.96,0,1,3.34,0,23
scale free,200,4,3.96,0,1,3.34,0,24
scale free,200,4,3.96,0,1,3.34,0,25
scale free,200,4,3.96,2,1,3.34,0,26
scale free,200,4,3.96,0,1,3.34,0,27
scale free,200,4,3.96,0,1,3.34,0,28
scale free,200,4,3.96,0,1,3.34,0,29
scale free,200,4,3.96,0,1,3.34,0,30
scale free,200,4,3.96,0,1,3.34,0,31
scale free,200,4,3.96,0,1,3.34,0,32
scale free,200,4,3.96,0,1,3.34,0,33
scale free,200,4,3.96,0,1,3.34,0,34
scale free,200,4,3.96,0,1,3.34,0,35
scale free,200,4,3.96,0,1,3.34,0,36
scale free,200,4,3.96,0,1,3.34,0,37
scale free,200,4,3.96,1,1,3.34,0,38
scale free,200,5,5.91,0,1,2.92,0,0
scale free,200,5,5.91,0,1,2.92,0,1
scale free,200,5,5.91,0,1,2.92,0,2
scale free,200,5,5.91,68,1,2.92,0,3
scale free,200,5,5.91,53,1,2.92,0,4
scale free,200,5,5.91,26,1,2.92,0,5
scale free,200,5,5.91,9,1,2.92,0,6
scale free,200,5,5.91,9,1,2.92,0,7
scale free,200,5,5.91,6,1,2.92,0,8
scale free,200,5,5.91,4,1,2.92,0,9
scale free,200,5,5.91,0,1,2.92,0,10
scale free,200,5,5.91,3,1,2.92,0,11
scale free,200,5,5.91,5,1,2.92,0,12
scale free,200,5,5.91,2,1,2.92,0,13
scale free,200,5,5.91,1,1,2.92,0,14
scale free,200,5,5.91,5,1,2.92,0,15
scale free,200,5,5.91,0,1,2.92,0,16
scale free,200,5,5.91,0,1,2.92,0,17
scale free,200,5,5.91,1,1,2.92,0,18
scale free,200,5,5.91,2,1,2.92,0,19
scale free,200,5,5.91,0,1,2.92,0,20
scale free,200,5,5.91,0,1,2.92,0,21
scale free,200,5,5.91,0,1,2.92,0,22
scale free,200,5,5.91,1,1,2.92,0,23
scale free,200,5,5.91,1,1,2.92,0,24
scale free,200,5,5.91,0,1,2.92,0,25
scale free,200,5,5.91,0,1,2.92,0,26
scale free,200,5,5.91,0,1,2.92,0,27
scale free,200,5,5.91,1,1,2.92,0,28
scale free,200,5,5.91,0,1,2.92,0,29
scale free,200,5,5.91,1,1,2.92,0,30
scale free,200,5,5.91,0,1,2.92,0,31
scale free,200,5,5.91,1,1,2.92,0,32
scale free,200,5,5.91,0,1,2.92,0,33
scale free,200,5,5.91,1,1,2.92,0,34
